         92007 function calls (91912 primitive calls) in 1.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 poolmanager.py:213(connection_from_host)
        2    0.000    0.000    0.000    0.000 utils.py:772(select_proxy)
        2    0.000    0.000    0.000    0.000 calendar.py:655(timegm)
        2    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
        1    0.000    0.000    0.000    0.000 socket.py:139(__init__)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 {method 'subn' of 're.Pattern' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 sessions.py:362(__init__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1249(__init__)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
       43    0.000    0.000    0.000    0.000 enum.py:628(value)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 cp1252.py:3(<module>)
        2    0.000    0.000    0.000    0.000 cookies.py:343(set_cookie)
        3    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
        9    0.000    0.000    0.000    0.000 url.py:303(<listcomp>)
       27    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.004    0.004 poolmanager.py:162(<lambda>)
        2    0.000    0.000    0.000    0.000 adapters.py:113(__init__)
        6    0.000    0.000    0.000    0.000 cookies.py:51(get_full_url)
        3    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        1    0.000    0.000    0.001    0.001 SSL.py:1186(set_cipher_list)
       42    0.000    0.000    0.000    0.000 {method 'string' of 'CompiledFFI' objects}
        1    0.000    0.000    0.001    0.001 poolmanager.py:249(connection_from_pool_key)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        1    0.000    0.000    0.000    0.000 enum.py:872(_decompose)
      111    0.000    0.000    0.000    0.000 binding.py:55(_openssl_assert)
        1    0.000    0.000    0.003    0.003 utils.py:169(get_netrc_auth)
        5    0.000    0.000    0.000    0.000 parse.py:779(quote)
        6    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
       22    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 SSL.py:1735(send)
        1    0.000    0.000    0.000    0.000 response.py:401(_flush_decoder)
        1    0.000    0.000    0.000    0.000 connectionpool.py:873(__init__)
        5    0.000    0.000    0.000    0.000 structures.py:59(__iter__)
        4    0.000    0.000    0.000    0.000 cookiejar.py:663(escape_path)
        1    0.000    0.000    0.001    0.001 pyopenssl.py:443(set_ciphers)
        9    0.000    0.000    0.000    0.000 url.py:302(_idna_encode)
        1    0.000    0.000    0.000    0.000 _collections.py:230(extend)
       26    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        3    0.000    0.000    0.000    0.000 enum.py:836(__and__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
        2    0.000    0.000    0.000    0.000 cookiejar.py:536(domain_match)
        4    0.000    0.000    0.000    0.000 timeout.py:95(__init__)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
       23    0.000    0.000    0.000    0.000 threading.py:243(__exit__)
       23    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       14    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.000    0.000 response.py:72(__init__)
       10    0.000    0.000    0.000    0.000 extensions.py:1163(__init__)
        4    0.000    0.000    0.000    0.000 enum.py:830(__or__)
        2    0.000    0.000    0.000    0.000 __init__.py:1619(isEnabledFor)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 cookiejar.py:870(__init__)
        1    0.000    0.000    0.000    0.000 client.py:1061(putrequest)
        1    0.000    0.000    0.207    0.207 connectionpool.py:986(_validate_conn)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        5    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
       10    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.002    0.001 element.py:1682(find_all)
