         91927 function calls (91832 primitive calls) in 6.235 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      361    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.138    0.138 __init__.py:97(__init__)
       12    0.000    0.000    0.000    0.000 queue.py:153(get)
       20    0.000    0.000    0.008    0.000 response.py:379(_decode)
       51    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        3    0.000    0.000    0.000    0.000 SSL.py:311(wrapper)
       17    0.000    0.000    0.000    0.000 decode_asn1.py:22(_obj2txt)
        1    0.000    0.000    0.000    0.000 SSL.py:2026(get_cipher_list)
       17    0.000    0.000    0.000    0.000 {built-in method _openssl.OBJ_obj2txt}
      215    0.000    0.000    0.001    0.000 abc.py:137(__instancecheck__)
       16    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 models.py:693(ok)
       11    0.000    0.000    0.000    0.000 queue.py:20(_get)
        2    0.000    0.000    0.000    0.000 SSL.py:1566(__init__)
       39    0.000    0.000    0.000    0.000 parse.py:109(_coerce_args)
      122    0.000    0.000    0.000    0.000 socket.py:614(readable)
        1    0.000    0.000    0.001    0.001 response.py:569(from_httplib)
       48    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      111    0.000    0.000    0.000    0.000 backend.py:130(openssl_assert)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:260(_decode_certificate_policies)
       11    0.000    0.000    0.000    0.000 queue.py:121(put)
        4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:882(_find_spec)
       55    0.000    0.000    0.000    0.000 types.py:164(__get__)
       78    0.000    0.000    0.000    0.000 {built-in method _openssl.sk_GENERAL_NAME_value}
        2    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
        1    0.000    0.000    1.071    1.071 sessions.py:614(send)
        7    0.000    0.000    0.000    0.000 utils.py:287(to_key_val_list)
       22    0.000    0.000    0.000    0.000 threading.py:335(notify)
        1    0.000    0.000    0.005    0.005 sessions.py:687(merge_environment_settings)
        1    0.000    0.000    0.757    0.757 connectionpool.py:494(urlopen)
        3    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1474(_cookie_from_cookie_tuple)
        2    0.000    0.000    0.001    0.000 url.py:330(parse_url)
      4/3    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:978(_find_and_load)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       18    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_CTX_get_verify_mode}
        1    0.000    0.000    0.002    0.002 crypto.py:579(__getattr__)
        1    0.000    0.000    0.756    0.756 connectionpool.py:351(_make_request)
       10    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
        2    0.000    0.000    0.003    0.001 _collections.py:91(clear)
        6    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        1    0.000    0.000    0.001    0.001 client.py:193(parse_headers)
        1    0.000    0.000    0.000    0.000 decode_asn1.py:380(_decode_authority_information_access)
       20    0.000    0.000    0.000    0.000 _collections.py:155(__getitem__)
