         74905 function calls (74853 primitive calls) in 2.401 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 parser.py:42(parse)
       20    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       11    0.000    0.000    0.000    0.000 element.py:1895(search_tag)
       18    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.437    0.437 client.py:1277(getresponse)
        1    0.000    0.000    0.000    0.000 dammit.py:348(find_declared_encoding)
        1    0.000    0.000    0.000    0.000 __init__.py:405(reset)
        1    0.000    0.000    0.001    0.001 parser.py:60(parsestr)
        1    0.000    0.000    0.155    0.155 client.py:1231(_send_request)
        1    0.000    0.000    0.608    0.608 request.py:507(open)
        2    0.000    0.000    0.000    0.000 idna.py:147(encode)
        7    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.000    0.000 client.py:226(__init__)
        4    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        4    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        1    0.000    0.000    0.092    0.092 ssl.py:1110(do_handshake)
        4    0.000    0.000    0.000    0.000 message.py:564(get_content_type)
        1    0.000    0.000    0.003    0.003 socket.py:731(getaddrinfo)
        1    0.000    0.000    2.401    2.401 <string>:1(<module>)
        7    0.000    0.000    0.000    0.000 element.py:2069(__init__)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        1    0.000    0.000    0.154    0.154 client.py:1381(connect)
      6/4    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        2    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        1    0.000    0.000    0.014    0.014 ssl.py:551(create_default_context)
        2    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 client.py:1233(<genexpr>)
        4    0.000    0.000    0.000    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        2    0.000    0.000    0.000    0.000 ssl.py:538(verify_mode)
       10    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
        2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.003    0.002 _htmlparser.py:297(prepare_markup)
        4    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:793(get_code)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:978(_find_and_load)
       21    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       47    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.154    0.154 client.py:948(send)
        6    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
       14    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        1    0.000    0.000    0.003    0.003 dammit.py:490(_convert_from)
        9    0.000    0.000    0.000    0.000 {built-in method _bisect.insort_right}
        1    0.000    0.000    0.002    0.002 {method 'close' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 _htmlparser.py:277(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.000    0.000 cp1252.py:3(<module>)
        1    0.000    0.000    0.002    0.002 client.py:398(_close_conn)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       10    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       15    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       16    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 request.py:634(http_response)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
        1    0.000    0.000    0.000    0.000 dammit.py:245(__init__)
        2    0.000    0.000    0.000    0.000 dammit.py:282(encodings)
        1    0.000    0.000    0.000    0.000 feedparser.py:53(__init__)
        1    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        4    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.132    0.132 _htmlparser.py:331(feed)
        5    0.000    0.000    0.000    0.000 element.py:687(_find_one)
        2    0.000    0.000    0.002    0.001 element.py:1682(find_all)
        2    0.000    0.000    0.000    0.000 message.py:120(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:882(_find_spec)
        2    0.000    0.000    0.002    0.001 element.py:1657(find)
        1    0.000    0.000    0.606    0.606 request.py:1358(https_open)
        1    0.000    0.000    0.093    0.093 ssl.py:399(wrap_socket)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 parse.py:361(urlparse)
